"Name" "Nationality"
"Fabinho" "BRA"
"Layvin Kurzawa" "FRA"
"Aymen Abdennour" "TUN"
"Ricardo Carvalho" "POR"
"Wallace" "BRA"
"Borja López" "ESP"
"Elderson" "NGA"
"Andrea Raggi" "ITA"
"Abdou Diallo" "FRA"
"Almamy Touré" "MLI"
"Nabil Dirar" "MAR"
"João Moutinho" "POR"
"Lucas Ocampos" "ARG"
"Matheus Carvalho" "BRA"
"Tiémoué Bakayoko" "FRA"
"Bernardo Silva" "POR"
"Geoffrey Kondogbia" "FRA"
"Alain Traoré" "FRA"
"Jérémy Toulalan" "FRA"
"Dylan Bahamboula" "FRA"
"Morgan Kamin" "FRA"
"Abdou Aziz Thiam" "FRA"
"Dimitar Berbatov" "BUL"
"Yannick Ferreira-Carrasco" "BEL"
"Valère Germain" "FRA"
"Lacina Traoré" "CIV"
"Anthony Martial" "FRA"
"Aboubakar Kamara" "FRA"
"Leonardo Jardim" "POR"
"Bernd Leno" "GER"
"David Yelldell" "USA"
"Dario Krešic" "CRO"
"Niklas Lomb" "GER"
"Emir Spahic" "BIH"
"Roberto Hilbert" "GER"
"Kyriakos Papadopoulos" "GRE"
"Tin Jedvaj" "CRO"
"Sebastian Boenisch" "POL"
"Wendell" "BRA"
"Ömer Toprak" "TUR"
"Giulio Donati" "ITA"
"Lukas Boeder" "GER"
"Stefan Reinartz" "GER"
"Simon Rolfes" "GER"
"Lars Bender" "GER"
"Hakan Çalhanoglu" "TUR"
"Levin Öztunali" "GER"
"Gonzalo Castro" "GER"
"Vladlen Yurchenko" "UKR"
"Karim Bellarabi" "GER"
"Son Heung-Min          " "KOR"
"Josip Drmic" "SUI"
"Stefan Kiessling" "GER"
"Julian Brandt" "GER"
"Robbie Kruse" "AUS"
"Roger Schmidt" "GER"
"Yuri Lodygin" "RUS"
"Vyacheslav Malafeev" "RUS"
"Maksim Rudakov" "RUS"
"Anton Tsvetkov" "RUS"
"Egor Baburin" "RUS"
"Mikhail Mzhelski" "RUS"
"Igor Obukhov" "RUS"
"Aleksandr Vasyutin" "RUS"
"Aleksandr Anyukov" "RUS"
"Domenico Criscito" "ITA"
"Nicolas Lombaerts" "BEL"
"Luís Neto" "POR"
"Igor Smolnikov" "RUS"
"Ezequiel Garay" "ARG"
"Milan Rodic" "SRB"
"Andrei Ivanov" "RUS"
"Kirill Kostin" "RUS"
"Dzhamaldin Khodzhaniyazov" "RUS"
"Ilya Zuev" "RUS"
"Stepan Rebenko" "RUS"
"Stepan Zhalobkov" "RUS"
"Ilya Kubyshkin" "RUS"
"Aleksandr Ryazantsev" "RUS"
"Pavel Mogilevets" "RUS"
"Oleg Shatov" "RUS"
"Viktor Fayzulin" "RUS"
"Javi García" "ESP"
"Axel Witsel" "BEL"
"Danny" "POR"
"Anatoliy Tymoshchuk" "UKR"
"Evgeni Serenkov" "RUS"
"Danila Yaschuk" "RUS"
"Vyacheslav Zinkov" "RUS"
"Pavel Osipov" "RUS"
"Artem Simonyan" "ARM"
"Aleksei Evseev" "RUS"
"Dmitri Hodakovski" "RUS"
"Ivan Solovyev" "RUS"
"Hulk" "BRA"
"Andrey Arshavin" "RUS"
"Aleksandr Kerzhakov" "RUS"
"José Rondón" "VEN"
"Pavel Nazimov" "RUS"
"Aleksei Gasilin" "RUS"
"Dmitri Bogaev" "RUS"
"André Villas-Boas" "POR"
"Artur" "BRA"
"Bruno Varela" "POR"
"Paulo Lopes" "POR"
"Júlio César" "BRA"
"Miguel Santos" "POR"
"Rafael Lopes" "POR"
"Lisandro López" "ARG"
"Luisão" "BRA"
"Maxi Pereira" "URU"
"Eliseu" "POR"
"Sílvio" "POR"
"Jardel" "BRA"
"André Almeida" "POR"
"César" "BRA"
"Rebocho" "POR"
"João Nunes" "POR"
"Fábio Cardoso" "POR"
"Alex Alfaiate" "POR"
"Victor Lindelöf" "SWE"
"Andreas Samaris" "GRE"
"Nicolás Gaitán" "ARG"
"Eduardo Salvio" "ARG"
"Loris Benito" "SUI"
"Bryan Cristante" "ITA"
"Enzo Pérez" "ARG"
"Hélder Costa" "POR"
"Rochinha" "POR"
"Rúben Pinto" "POR"
"João Teixeira" "POR"
"Derley" "BRA"
"Lima" "BRA"
"Ola John" "NED"
"Nélson Oliveira" "POR"
"Pizzi" "POR"
"Talisca" "BRA"
"Tiago" "POR"
"Gonçalo Guedes" "POR"
"Jorge Jesus" "POR"
"Wojciech Szczesny" "POL"
"David Ospina" "COL"
"Emiliano Martínez" "ARG"
"Ryan Huddart" "ENG"
"Deyan Iliev" "BUL"
"Mathieu Debuchy" "FRA"
"Kieran Gibbs" "ENG"
"Per Mertesacker" "GER"
"Gabriel" "BRA"
"Laurent Koscielny" "FRA"
"Nacho Monreal" "ESP"
"Calum Chambers" "ENG"
"Héctor Bellerín" "ESP"
"Isaac Hayden" "ENG"
"Tafari Moore" "ENG"
"Brandon Ormonde-Ottewill" "ENG"
"Chiori Johnson" "ENG"
"Stefan O'Connor" "ENG"
"Tomáš Rosický" "CZE"
"Mikel Arteta" "ESP"
"Jack Wilshere" "ENG"
"Mesut Özil" "GER"
"Aaron Ramsey" "WAL"
"Santi Cazorla" "ESP"
"Mathieu Flamini" "FRA"
"Yaya Sanogo" "FRA"
"Abou Diaby" "FRA"
"Joel Campbell" "CRC"
"Francis Coquelin" "FRA"
"Gedion Zelalem" "GER"
"Glen Kamara" "FIN"
"George Dobson" "ENG"
"Ainsley Maitland-Niles" "ENG"
"Tyrell Robinson" "ENG"
"Lukas Podolski" "GER"
"Olivier Giroud" "FRA"
"Theo Walcott" "ENG"
"Alex Oxlade-Chamberlain" "ENG"
"Alexis Sánchez" "CHI"
"Danny Welbeck" "ENG"
"Serge Gnabry" "GER"
"Chuba Akpom" "ENG"
"Alex Iwobi" "ENG"
"Kaylen Hinds" "ENG"
"Chris Willock" "ENG"
"Arsène Wenger" "FRA"
"Roman Weidenfeller" "GER"
"Mitchell Langerak" "AUS"
"Zlatan Alomerovic " "GER"
"Marc Hornschuh" "GER"
"Neven Subotic" "SRB"
"Mats Hummels" "GER"
"Sokratis Papastathopoulos" "GRE"
"Lukasz Piszczek" "POL"
"Matthias Ginter" "GER"
"Marcel Schmelzer" "GER"
"Jannick Bandowski" "GER"
"Erik Durm" "GER"
"Jeremy Dudziak" "GER"
"Nico Knystock" "GER"
"Sebastian Kehl" "GER"
"Sven Bender" "GER"
"Shinji Kagawa" "JPN"
"Ilkay Gündogan " "GER"
"Marco Reus" "GER"
"Miloš Jojic" "SRB"
"Jakub Blaszczykowski" "POL"
"Nuri Sahin" "TUR"
"Kevin Grosskreutz" "GER"
"Oliver Kirch" "GER"
"Kevin Kampl" "SVN"
"Mustafa Amini" "AUS"
"Burak Camoglu" "GER"
